DIRN GRATING START_TIME STOP_TIME T_LONG N_SHORT
INSR HETG 2003268.06270510 2003268.06293990 154.775 0
RETR HETG 2003268.17272550 2003268.17300030 154.775 0
INSR LETG 2003268.23531920 2003268.23561550 152.212 12
RETR LETG 2003269.22512800 2003269.22541000 153.237 5
INSR HETG 2003269.22551350 2003269.22574830 154.775 0
RETR HETG 2003271.04174990 2003271.04202470 154.775 0
INSR LETG 2003271.04213650 2003271.04243170 152.212 12
RETR LETG 2003271.12324320 2003271.12352410 153.237 4
INSR HETG 2003279.05553150 2003279.05580620 155.031 0
RETR HETG 2003280.10165940 2003280.10193420 154.775 0
INSR HETG 2003281.01204700 2003281.01232180 154.775 0
RETR HETG 2003281.10583560 2003281.11011040 154.775 0
INSR HETG 2003283.02025120 2003283.02052600 154.775 0
RETR HETG 2003283.17304510 2003283.17331990 154.775 0
INSR LETG 2003285.16334840 2003285.16364470 152.212 12
RETR LETG 2003286.03522870 2003286.03550860 153.237 4
INSR HETG 2003286.03561420 2003286.03584900 154.775 0
RETR HETG 2003291.00360280 2003291.00383760 154.775 0
INSR HETG 2003293.14473760 2003293.14501240 154.775 0
RETR HETG 2003294.19482000 2003294.19505480 154.775 0
INSR HETG 2003331.09544010 2003331.09571480 154.775 0
RETR HETG 2003333.07312090 2003333.07335570 154.775 0
INSR LETG 2003335.23210030 2003335.23235560 152.212 12
RETR LETG 2003338.14055800 2003338.14084000 153.237 5
INSR HETG 2003344.00083550 2003344.00111030 154.775 0
RETR HETG 2003344.09292220 2003344.09315700 154.775 0
INSR HETG 2003346.12142840 2003346.12170320 154.775 0
RETR HETG 2003347.15040700 2003347.15064180 154.775 0
INSR LETG 2003350.08244360 2003350.08273990 152.212 12
RETR LETG 2003350.22331530 2003350.22355520 153.237 4
INSR LETG 2003354.12093080 2003354.12122510 152.212 11
RETR LETG 2003354.13152830 2003354.13180930 153.237 4
INSR LETG 2003354.15112600 2003354.15142230 152.212 12
RETR LETG 2003354.21192350 2003354.21220440 153.237 4
INSR LETG 2003355.03203510 2003355.03233140 152.212 12
RETR LETG 2003356.07580250 2003356.08004450 153.237 5
INSR LETG 2004011.14013800 2004011.14043430 152.212 12
RETR LETG 2004013.06275460 2004013.06303760 153.237 5
INSR HETG 2004051.03335610 2004051.03363090 154.775 0
RETR HETG 2004051.07112130 2004051.07135610 154.775 0
INSR HETG 2004053.06523040 2004053.06550620 155.031 0
RETR HETG 2004058.04373550 2004058.04401030 154.775 0
INSR LETG 2004058.04412200 2004058.04441730 152.212 12
RETR LETG 2004058.15121120 2004058.15145110 153.237 4
INSR LETG 2004059.01230000 2004059.01255530 152.212 12
RETR LETG 2004059.04560900 2004059.04584890 153.237 4
INSR LETG 2004069.02090160 2004069.02115690 152.212 12
RETR LETG 2004070.03414460 2004070.03442760 153.237 5
INSR LETG 2004071.14153350 2004071.14182980 152.212 12
RETR LETG 2004074.01241270 2004074.01265570 153.237 5
INSR HETG 2004076.22001730 2004076.22025200 155.031 0
RETR HETG 2004078.02343600 2004078.02371080 154.775 0
INSR HETG 2004078.10101380 2004078.10124860 154.775 0
RETR HETG 2004079.08201520 2004079.08224990 154.775 0
INSR HETG 2004080.04373060 2004080.04400540 154.775 0
RETR HETG 2004080.14022430 2004080.14045910 154.775 0
INSR HETG 2004082.02153560 2004082.02181140 155.031 0
RETR HETG 2004084.16310410 2004084.16333890 154.775 0
INSR HETG 2004089.22585620 2004089.23013100 154.775 0
RETR HETG 2004090.20113870 2004090.20141350 154.775 0
INSR LETG 2004090.20152420 2004090.20182050 152.212 12
RETR LETG 2004092.14073350 2004092.14101550 153.237 5
INSR HETG 2004096.07354650 2004096.07382130 155.031 0
RETR HETG 2004098.06245850 2004098.06273330 154.775 0
INSR HETG 2004098.21323570 2004098.21351050 154.775 0
RETR HETG 2004100.13183240 2004100.13210710 154.775 0
INSR HETG 2004108.11210000 2004108.11233480 154.775 0
RETR HETG 2004109.05214460 2004109.05241940 154.775 0
